"","read_nai1","read_nai2","read_nai3","read_eff1","read_eff2","read_tem1","read_tem2","read_tcm1","read_tcm2"
"union_peak_31506",0.6548812,0.841312087,0.850701619,0.082393175,0.122791415,0.078828216,0.223369778,0.23893981,0.375121954
"union_peak_31507",1.181125021,0.728058536,0.791152505,0.070622721,0.073674849,0.078828216,0.142144404,0.270105872,0.448062334
"union_peak_31510",2.81832802,2.119459295,2.135261062,0.235409071,0.245582831,0.945938587,0.76148788,1.547914421,1.958970203
"union_peak_31515",0.105248764,0.016179079,0.008507016,0.447277235,0.528003086,0.735730012,0.599037132,1.516748359,1.719308955
"union_peak_31527",3.028825549,1.884862655,2.169289127,0.388424967,0.47888652,0.558366527,0.497505415,0.851872366,1.177466133
"union_peak_31530",3.005436934,2.774711978,2.450020661,0.729768121,1.105122738,0.939369569,0.944244971,1.246642487,1.771409226
"union_peak_31535",0.420995057,0.266954797,0.331773631,0.459047689,0.405211671,1.445183953,1.360525012,0.789540242,0.750243907
"union_peak_31550",0.058471536,0.161790786,0.017014032,0.482588596,0.552561369,0.952507605,1.025470345,0.851872366,0.656463419
"union_peak_31565",0.631492585,1.181072737,1.00382791,0.153015896,0.135070557,0.256191701,0.131991232,0.322049309,0.521002714
"union_peak_31571",0.210497528,0.137522168,0.153126291,1.18881581,0.982331323,0.538659473,0.791947395,0.457102245,0.500162605
"union_peak_31574",0.152025993,0.145611707,0.042535081,6.497290365,6.397432738,5.649355451,6.22389427,3.480210276,4.970365887
"union_peak_31578",0.093554457,0.129432629,0.161633308,0.906324924,1.056006172,0.262760719,0.385820526,0.28049456,0.385542008
"union_peak_31580",0.725047043,0.938386558,0.876222667,3.178022461,3.315368214,2.496226827,2.457067558,1.495970984,1.396287272
"union_peak_31584",0.093554457,0.291223415,0.170140324,5.814604058,5.672963388,4.381534983,4.071421863,3.469821588,2.969715467
"union_peak_31585",0.011694307,0.016179079,0.008507016,0.670915853,0.736748492,0.35472697,0.375667354,0.259717185,0.187560977
"union_peak_31617",0.105248764,0.202238482,0.119098227,0.965177192,0.663073643,0.702884922,0.781794223,0.789540242,0.437642279
